timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,nose_tip_x,nose_tip_y,chin_x,chin_y
1725509750.6437628,760,723,860,708,815,741,841,894
1725509750.800609,765,720,865,706,820,738,842,893
1725509751.000065,764,721,864,707,819,740,842,893
1725509751.286006,768,723,871,708,821,744,843,898
